Camera,Chamber_Column,Plate_position,Plate,WellID,StrainID,Status,NitrogenHistory,SalineHistory,ContSaline,Rep,area,greenness,Date,Hour,Date.merge,PlatexWell,StartingSize
C,5,plate1,9,c01,St3,Evolved,Low,Low,Low,3,12953,0.399903686,1,20,1.833333333,9 c01,12.953
C,5,plate1,9,c02,St23,Evolved,Low,High,Low,3,6053,0.41127075,1,20,1.833333333,9 c02,6.053
C,5,plate1,9,c03,St43,Evolved,High,Low,Low,3,4970,0.393436415,1,20,1.833333333,9 c03,4.97
C,5,plate1,9,c04,St64,Evolved,High,High,Low,3,9532,0.388548839,1,20,1.833333333,9 c04,9.532
C,5,plate1,9,c06,St24,Evolved,Low,High,Low,3,11973,0.377700502,1,20,1.833333333,9 c06,11.973
C,5,plate1,9,d01,St44,Evolved,High,Low,Low,3,14828,0.398271564,1,20,1.833333333,9 d01,14.828
C,5,plate1,9,d02,St65,Evolved,High,High,Low,3,10174,0.395884111,1,20,1.833333333,9 d02,10.174
C,5,plate1,9,d04,St25,Evolved,Low,High,Low,3,12089,0.404608426,1,20,1.833333333,9 d04,12.089
C,5,plate1,9,d05,St45,Evolved,High,Low,Low,3,12960,0.397131452,1,20,1.833333333,9 d05,12.96
C,5,plate1,9,d06,St67,Evolved,High,High,Low,3,10628,0.380788823,1,20,1.833333333,9 d06,10.628
A,5,plate1,10,a01,Ancestor,Ancestor,NA,NA,Low,3,13023,0.386307463,1,20,1.833333333,10 a01,13.023
A,5,plate1,10,a03,Sterile,Sterile,NA,NA,Low,3,7015,0.396136932,1,20,1.833333333,10 a03,7.015
A,5,plate1,10,a04,Sterile,Sterile,NA,NA,Low,3,8549,0.400828179,1,20,1.833333333,10 a04,8.549
A,5,plate1,10,b01,St46,Evolved,High,Low,Low,3,14019,0.393742706,1,20,1.833333333,10 b01,14.019
A,5,plate1,10,b02,St69,Evolved,High,High,Low,3,5090,0.386335076,1,20,1.833333333,10 b02,5.09
A,5,plate1,10,b03,St7,Evolved,Low,Low,Low,3,10234,0.397314091,1,20,1.833333333,10 b03,10.234
A,5,plate1,10,b05,St47,Evolved,High,Low,Low,3,7802,0.395475374,1,20,1.833333333,10 b05,7.802
A,5,plate1,10,b06,St70,Evolved,High,High,Low,3,10065,0.392287125,1,20,1.833333333,10 b06,10.065
A,5,plate1,10,c01,St8,Evolved,Low,Low,Low,3,4409,0.388528859,1,20,1.833333333,10 c01,4.409
A,5,plate1,10,c03,St48,Evolved,High,Low,Low,3,4217,0.391374909,1,20,1.833333333,10 c03,4.217
A,5,plate1,10,c05,St9,Evolved,Low,Low,Low,3,4591,0.384968686,1,20,1.833333333,10 c05,4.591
A,5,plate1,10,d01,St49,Evolved,High,Low,Low,3,6950,0.354282051,1,20,1.833333333,10 d01,6.95
A,5,plate1,10,d05,St50,Evolved,High,Low,Low,3,9131,0.396501912,1,20,1.833333333,10 d05,9.131
B,1,plate1,41,a01,Ancestor,Ancestor,NA,NA,High,1,9936,0.38098068,1,20,1.833333333,41 a01,9.936
B,1,plate1,41,a03,Sterile,Sterile,NA,NA,High,1,14677,0.381878757,1,20,1.833333333,41 a03,14.677
B,1,plate1,41,a05,St1,Evolved,Low,Low,High,1,12541,0.38800969,1,20,1.833333333,41 a05,12.541
B,1,plate1,41,a06,St21,Evolved,Low,High,High,1,4593,0.364819302,1,20,1.833333333,41 a06,4.593
B,1,plate1,41,b01,St41,Evolved,High,Low,High,1,11663,0.385472781,1,20,1.833333333,41 b01,11.663
B,1,plate1,41,b02,St62,Evolved,High,High,High,1,6249,0.378366211,1,20,1.833333333,41 b02,6.249
B,1,plate1,41,b03,St2,Evolved,Low,Low,High,1,5240,0.368351593,1,20,1.833333333,41 b03,5.24
B,1,plate1,41,b04,St22,Evolved,Low,High,High,1,11343,0.385801926,1,20,1.833333333,41 b04,11.343
B,1,plate1,41,b05,St42,Evolved,High,Low,High,1,4963,0.372206117,1,20,1.833333333,41 b05,4.963
B,1,plate1,41,b06,St63,Evolved,High,High,High,1,5099,0.366427051,1,20,1.833333333,41 b06,5.099
B,1,plate1,41,c01,St3,Evolved,Low,Low,High,1,9929,0.387715055,1,20,1.833333333,41 c01,9.929
B,1,plate1,41,c02,St23,Evolved,Low,High,High,1,11268,0.393810671,1,20,1.833333333,41 c02,11.268
B,1,plate1,41,c03,St43,Evolved,High,Low,High,1,5980,0.39003012,1,20,1.833333333,41 c03,5.98
B,1,plate1,41,c04,St64,Evolved,High,High,High,1,8305,0.380622758,1,20,1.833333333,41 c04,8.305
B,1,plate1,41,c06,St24,Evolved,Low,High,High,1,5483,0.372837278,1,20,1.833333333,41 c06,5.483
B,1,plate1,41,d01,St44,Evolved,High,Low,High,1,7923,0.385152401,1,20,1.833333333,41 d01,7.923
B,1,plate1,41,d02,St65,Evolved,High,High,High,1,11577,0.404821948,1,20,1.833333333,41 d02,11.577
B,1,plate1,41,d04,St25,Evolved,Low,High,High,1,10326,0.384044046,1,20,1.833333333,41 d04,10.326
B,1,plate1,41,d05,St45,Evolved,High,Low,High,1,4791,0.369741287,1,20,1.833333333,41 d05,4.791
B,1,plate1,41,d06,St67,Evolved,High,High,High,1,9598,0.38368797,1,20,1.833333333,41 d06,9.598
D,1,plate1,42,a01,Ancestor,Ancestor,NA,NA,High,1,12639,0.411767138,1,20,1.833333333,42 a01,12.639
D,1,plate1,42,a03,Sterile,Sterile,NA,NA,High,1,15905,0.38454338,1,20,1.833333333,42 a03,15.905
D,1,plate1,42,b01,St46,Evolved,High,Low,High,1,9978,0.408333516,1,20,1.833333333,42 b01,9.978
D,1,plate1,42,b02,St69,Evolved,High,High,High,1,6450,0.388986915,1,20,1.833333333,42 b02,6.45
D,1,plate1,42,b03,St7,Evolved,Low,Low,High,1,9088,0.393482158,1,20,1.833333333,42 b03,9.088
D,1,plate1,42,b05,St47,Evolved,High,Low,High,1,11589,0.39283083,1,20,1.833333333,42 b05,11.589
D,1,plate1,42,b06,St70,Evolved,High,High,High,1,4219,0.403426468,1,20,1.833333333,42 b06,4.219
D,1,plate1,42,c01,St8,Evolved,Low,Low,High,1,9035,0.377681681,1,20,1.833333333,42 c01,9.035
D,1,plate1,42,c03,St48,Evolved,High,Low,High,1,7465,0.400531183,1,20,1.833333333,42 c03,7.465
D,1,plate1,42,c05,St9,Evolved,Low,Low,High,1,10085,0.389135179,1,20,1.833333333,42 c05,10.085
D,1,plate1,42,d01,St49,Evolved,High,Low,High,1,10324,0.391900868,1,20,1.833333333,42 d01,10.324
D,1,plate1,42,d05,St50,Evolved,High,Low,High,1,6906,0.378426699,1,20,1.833333333,42 d05,6.906
B,2,plate2,43,b04,St32,Evolved,Low,High,High,1,14202,0.383738739,1,20,1.833333333,43 b04,14.202
B,2,plate2,43,c01,St13,Evolved,Low,Low,High,1,9641,0.384331859,1,20,1.833333333,43 c01,9.641
B,2,plate2,43,c02,St33,Evolved,Low,High,High,1,5337,0.369032627,1,20,1.833333333,43 c02,5.337
B,2,plate2,43,c05,St14,Evolved,Low,Low,High,1,9179,0.375466533,1,20,1.833333333,43 c05,9.179
B,2,plate2,43,d03,St15,Evolved,Low,Low,High,1,11402,0.37862927,1,20,1.833333333,43 d03,11.402
D,2,plate2,44,b04,St37,Evolved,Low,High,High,1,8599,0.404322053,1,20,1.833333333,44 b04,8.599
D,2,plate2,44,c04,St19,Evolved,Low,Low,High,1,17089,0.392513345,1,20,1.833333333,44 c04,17.089
D,2,plate2,44,c05,St39,Evolved,Low,High,High,1,5272,0.389776709,1,20,1.833333333,44 c05,5.272
D,2,plate2,44,d04,Ancestor,Ancestor,NA,NA,High,1,9233,0.389296443,1,20,1.833333333,44 d04,9.233
D,2,plate2,44,d06,Sterile,Sterile,NA,NA,High,1,11516,0.394923407,1,20,1.833333333,44 d06,11.516
C,3,plate1,45,a01,Ancestor,Ancestor,NA,NA,High,2,9524,0.397762383,1,20,1.833333333,45 a01,9.524
C,3,plate1,45,a03,Sterile,Sterile,NA,NA,High,2,12786,0.402605321,1,20,1.833333333,45 a03,12.786
C,3,plate1,45,a04,Sterile,Sterile,NA,NA,High,2,10250,0.403761055,1,20,1.833333333,45 a04,10.25
C,3,plate1,45,a05,St1,Evolved,Low,Low,High,2,7898,0.394848822,1,20,1.833333333,45 a05,7.898
C,3,plate1,45,a06,St21,Evolved,Low,High,High,2,9782,0.391534404,1,20,1.833333333,45 a06,9.782
C,3,plate1,45,b01,St41,Evolved,High,Low,High,2,14594,0.401244421,1,20,1.833333333,45 b01,14.594
C,3,plate1,45,b02,St62,Evolved,High,High,High,2,5365,0.391746323,1,20,1.833333333,45 b02,5.365
C,3,plate1,45,b03,St2,Evolved,Low,Low,High,2,7251,0.419136356,1,20,1.833333333,45 b03,7.251
