PlateNumber,Position,PlatePosition,Well,Nitrogen,Strain,Treatment_rep,area,greenness,Date,Hour,Date.merge,PlatexWell,StartingSize
17,1_1,plate1,d03,High,Inoculated,Rep7,3235,0.331622319,1,20,1.833333333,17 d03,3.235
18,1_2,plate2,a05,Low,Sterile,Rep8,1406,0.330205046,1,20,1.833333333,18 a05,1.311
18,1_2,plate2,b02,Low,Inoculated,Rep8,3905,0.336109733,1,20,1.833333333,18 b02,3.9645
18,1_2,plate2,c05,High,Sterile,Rep8,5257.5,0.336154436,1,20,1.833333333,18 c05,5.2575
18,1_2,plate2,d02,High,Inoculated,Rep8,2846.5,0.326715856,1,20,1.833333333,18 d02,3.174
19,1_3,plate1,b01,Low,Inoculated,Rep9,4370,0.328392024,1,20,1.833333333,19 b01,4.302
19,1_3,plate1,c04,High,Sterile,Rep9,3820,0.328062623,1,20,1.833333333,19 c04,3.82
19,1_3,plate1,d01,High,Inoculated,Rep9,3178,0.331289594,1,20,1.833333333,19 d01,3.178
20,1_4,plate2,a03,Low,Sterile,Rep10,2094.5,0.328506359,1,20,1.833333333,20 a03,1.998
20,1_4,plate2,a06,Low,Inoculated,Rep10,3013,0.331635647,1,20,1.833333333,20 a06,2.8025
20,1_4,plate2,c06,High,Inoculated,Rep10,3046,0.330166003,1,20,1.833333333,20 c06,2.855
11,0_0,plate1,a03,Low,Inoculated,Rep1,11311,0.349037212,2,6,2.25,11 a03,10.951
11,0_0,plate1,c03,High,Inoculated,Rep1,11573.5,0.33613101,2,6,2.25,11 c03,11.1525
11,0_0,plate1,d06,High,Sterile,Rep1,8689,0.336635304,2,6,2.25,11 d06,8.689
12,0_1,plate2,a02,Low,Inoculated,Rep2,4764.5,0.332127605,2,6,2.25,12 a02,4.5135
12,0_1,plate2,b05,Low,Sterile,Rep2,5033,0.336772446,2,6,2.25,12 b05,4.6965
12,0_1,plate2,c02,High,Inoculated,Rep2,7693,0.33120395,2,6,2.25,12 c02,7.288
12,0_1,plate2,d05,High,Sterile,Rep2,3179,0.322789575,2,6,2.25,12 d05,3.33
13,0_2,plate1,a01,Low,Inoculated,Rep3,1199.5,0.317602437,2,6,2.25,13 a01,1.1995
